model,n_test,accuracy,balanced_accuracy,roc_auc,average_precision,log_loss,brier_score
logistic_regression,9900,0.7122222222222222,0.7111853827994612,0.7864435685597044,0.7667388937496294,0.5546290766356226,0.18808545011008282
random_forest,9900,0.711010101010101,0.7116501932456383,0.782272340637178,0.7583368001321857,0.5680442040101318,0.19251667397557712
