term,posterior_mean_log_odds,posterior_sd,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high
Intercept,-0.03438425732522294,0.010208738297643623,0.9662001638062844,0.9470594748003903,0.9857276986073673
"C(Match_Type, Treatment(reference='Friendly'))[T.Official]",0.18099919862927757,0.013111498066105672,1.1984142189187466,1.1680090847553033,1.2296108470830183
is_home,0.5473091384449533,0.011918197984681881,1.7285953433455163,1.6886839037919514,1.7694500754854916
elo_diff_100,0.41978086539561627,0.007917412075585719,1.5216280777148647,1.4981975282654205,1.545425061254037
form_points_diff_5,0.1101584960785402,0.011042498333357456,1.1164550101773547,1.0925508585418828,1.1408821658093402
rest_diff_7,-0.003131932594908358,0.0007453576410814478,0.996872966789799,0.9954176973602386,0.9983303637775877
travel_1000,0.02621385507517649,0.0024423369793475464,1.0265604601651426,1.0216580784456584,1.031486365749441
away_travel_known,-0.5797370891218193,0.010246011745022503,0.5600455892890274,0.5489108306087644,0.5714062186279731
year_decade,-0.06390130429768873,0.0037778242349463366,0.9380975811615591,0.9311770575695802,0.945069538201557
