dataset,matches,home_wins,draws,away_wins,home_win_rate,home_win_ci_low,home_win_ci_high,draw_rate,away_win_rate,home_share_decisive,mean_home_goal_difference
Dated 2005-2021,1738,813,399,526,0.46777905638665135,0.4444175392078915,0.49128269897679777,0.22957422324510932,0.30264672036823936,0.6071695294996265,0.38204833141542005
UCL deduplicated 2010-2021,1461,688,308,465,0.47091033538672145,0.44542453034328783,0.4965487178222477,0.2108145106091718,0.3182751540041068,0.5967042497831744,0.38193018480492813
Combined unique matches,2061,969,465,627,0.47016011644832606,0.44868735164689627,0.49174391436401715,0.22561863173216884,0.3042212518195051,0.6071428571428571,0.38719068413391555
