model,n_test,accuracy,balanced_accuracy,roc_auc,average_precision,log_loss,brier_score
logistic_temporal_leakage_safe,348,0.6925287356321839,0.6926262626262627,0.7502020202020202,0.6879096585870212,0.5930637572391316,0.20282759762849095
logistic_alltime_enriched,348,0.7212643678160919,0.7227272727272727,0.7749494949494949,0.7019041951202043,0.5694641627997368,0.19258035103487706
random_forest_alltime_enriched,348,0.7068965517241379,0.7092929292929293,0.7724915824915826,0.6882553305093171,0.5784998893970799,0.19554285886825987
