model,n_test,accuracy,balanced_accuracy,roc_auc,average_precision,log_loss,brier_score
logistic_regression,9900,0.7122222222222222,0.7111853827994612,0.7864435685597044,0.7667388937496294,0.5546290766356226,0.18808545011008282
random_forest,9900,0.7069696969696969,0.7073541732893838,0.7805938448364238,0.7545842560637337,0.5682619518457259,0.1926736415565934
